location,total_deaths,date,year,month,day
Asia,0.0,2020-01-05,2020,1,5
Asia,0.0,2020-01-06,2020,1,6
Asia,0.0,2020-01-07,2020,1,7
Asia,0.0,2020-01-08,2020,1,8
Asia,0.0,2020-01-09,2020,1,9
Asia,0.0,2020-01-10,2020,1,10
Asia,0.0,2020-01-11,2020,1,11
Asia,1.0,2020-01-12,2020,1,12
Asia,1.0,2020-01-13,2020,1,13
Asia,1.0,2020-01-14,2020,1,14
Asia,1.0,2020-01-15,2020,1,15
Asia,1.0,2020-01-16,2020,1,16
Asia,1.0,2020-01-17,2020,1,17
Asia,1.0,2020-01-18,2020,1,18
Asia,3.0,2020-01-19,2020,1,19
Asia,3.0,2020-01-20,2020,1,20
Asia,3.0,2020-01-21,2020,1,21
Asia,3.0,2020-01-22,2020,1,22
Asia,3.0,2020-01-23,2020,1,23
Asia,3.0,2020-01-24,2020,1,24
Asia,3.0,2020-01-25,2020,1,25
Asia,56.0,2020-01-26,2020,1,26
Asia,56.0,2020-01-27,2020,1,27
Asia,56.0,2020-01-28,2020,1,28
Asia,56.0,2020-01-29,2020,1,29
Asia,56.0,2020-01-30,2020,1,30
Asia,56.0,2020-01-31,2020,1,31
Asia,56.0,2020-02-01,2020,2,1
Asia,362.0,2020-02-02,2020,2,2
Asia,362.0,2020-02-03,2020,2,3
Asia,362.0,2020-02-04,2020,2,4
Asia,362.0,2020-02-05,2020,2,5
Asia,362.0,2020-02-06,2020,2,6
Asia,362.0,2020-02-07,2020,2,7
Asia,362.0,2020-02-08,2020,2,8
Asia,906.0,2020-02-09,2020,2,9
Asia,906.0,2020-02-10,2020,2,10
Asia,906.0,2020-02-11,2020,2,11
Asia,906.0,2020-02-12,2020,2,12
Asia,906.0,2020-02-13,2020,2,13
Asia,906.0,2020-02-14,2020,2,14
Asia,906.0,2020-02-15,2020,2,15
Asia,1769.0,2020-02-16,2020,2,16
Asia,1769.0,2020-02-17,2020,2,17
Asia,1769.0,2020-02-18,2020,2,18
Asia,1769.0,2020-02-19,2020,2,19
Asia,1769.0,2020-02-20,2020,2,20
Asia,1769.0,2020-02-21,2020,2,21
Asia,1769.0,2020-02-22,2020,2,22
Asia,2456.0,2020-02-23,2020,2,23
Asia,2456.0,2020-02-24,2020,2,24
Asia,2456.0,2020-02-25,2020,2,25
Asia,2456.0,2020-02-26,2020,2,26
Asia,2456.0,2020-02-27,2020,2,27
Asia,2456.0,2020-02-28,2020,2,28
Asia,2456.0,2020-02-29,2020,2,29
Asia,2941.0,2020-03-01,2020,3,1
Asia,2941.0,2020-03-02,2020,3,2
Asia,2941.0,2020-03-03,2020,3,3
Asia,2941.0,2020-03-04,2020,3,4
Asia,2941.0,2020-03-05,2020,3,5
Asia,2941.0,2020-03-06,2020,3,6
Asia,2941.0,2020-03-07,2020,3,7
Asia,3306.0,2020-03-08,2020,3,8
Asia,3306.0,2020-03-09,2020,3,9
Asia,3306.0,2020-03-10,2020,3,10
Asia,3306.0,2020-03-11,2020,3,11
Asia,3306.0,2020-03-12,2020,3,12
Asia,3306.0,2020-03-13,2020,3,13
Asia,3306.0,2020-03-14,2020,3,14
Asia,3942.0,2020-03-15,2020,3,15
Asia,3942.0,2020-03-16,2020,3,16
Asia,3942.0,2020-03-17,2020,3,17
Asia,3942.0,2020-03-18,2020,3,18
Asia,3942.0,2020-03-19,2020,3,19
Asia,3942.0,2020-03-20,2020,3,20
Asia,3942.0,2020-03-21,2020,3,21
Asia,5111.0,2020-03-22,2020,3,22
Asia,5111.0,2020-03-23,2020,3,23
Asia,5111.0,2020-03-24,2020,3,24
