location,total_deaths,date,year,month,day
Africa,0,2020-01-05,2020,1,5
Africa,0,2020-01-06,2020,1,6
Africa,0,2020-01-07,2020,1,7
Africa,0,2020-01-08,2020,1,8
Africa,0,2020-01-09,2020,1,9
Africa,0,2020-01-10,2020,1,10
Africa,0,2020-01-11,2020,1,11
Africa,0,2020-01-12,2020,1,12
Africa,0,2020-01-13,2020,1,13
Africa,0,2020-01-14,2020,1,14
Africa,0,2020-01-15,2020,1,15
Africa,0,2020-01-16,2020,1,16
Africa,0,2020-01-17,2020,1,17
Africa,0,2020-01-18,2020,1,18
Africa,0,2020-01-19,2020,1,19
Africa,0,2020-01-20,2020,1,20
Africa,0,2020-01-21,2020,1,21
Africa,0,2020-01-22,2020,1,22
Africa,0,2020-01-23,2020,1,23
Africa,0,2020-01-24,2020,1,24
Africa,0,2020-01-25,2020,1,25
Africa,0,2020-01-26,2020,1,26
Africa,0,2020-01-27,2020,1,27
Africa,0,2020-01-28,2020,1,28
Africa,0,2020-01-29,2020,1,29
Africa,0,2020-01-30,2020,1,30
Africa,0,2020-01-31,2020,1,31
Africa,0,2020-02-01,2020,2,1
Africa,0,2020-02-02,2020,2,2
Africa,0,2020-02-03,2020,2,3
Africa,0,2020-02-04,2020,2,4
Africa,0,2020-02-05,2020,2,5
Africa,0,2020-02-06,2020,2,6
Africa,0,2020-02-07,2020,2,7
Africa,0,2020-02-08,2020,2,8
Africa,0,2020-02-09,2020,2,9
Africa,0,2020-02-10,2020,2,10
Africa,0,2020-02-11,2020,2,11
Africa,0,2020-02-12,2020,2,12
Africa,0,2020-02-13,2020,2,13
Africa,0,2020-02-14,2020,2,14
Africa,0,2020-02-15,2020,2,15
Africa,0,2020-02-16,2020,2,16
Africa,0,2020-02-17,2020,2,17
Africa,0,2020-02-18,2020,2,18
Africa,0,2020-02-19,2020,2,19
Africa,0,2020-02-20,2020,2,20
Africa,0,2020-02-21,2020,2,21
Africa,0,2020-02-22,2020,2,22
Africa,0,2020-02-23,2020,2,23
Africa,0,2020-02-24,2020,2,24
Africa,0,2020-02-25,2020,2,25
Africa,0,2020-02-26,2020,2,26
Africa,0,2020-02-27,2020,2,27
Africa,0,2020-02-28,2020,2,28
Africa,0,2020-02-29,2020,2,29
Africa,0,2020-03-01,2020,3,1
Africa,0,2020-03-02,2020,3,2
Africa,0,2020-03-03,2020,3,3
Africa,0,2020-03-04,2020,3,4
Africa,0,2020-03-05,2020,3,5
Africa,0,2020-03-06,2020,3,6
Africa,0,2020-03-07,2020,3,7
Africa,5,2020-03-08,2020,3,8
Africa,5,2020-03-09,2020,3,9
Africa,5,2020-03-10,2020,3,10
Africa,5,2020-03-11,2020,3,11
Africa,5,2020-03-12,2020,3,12
Africa,5,2020-03-13,2020,3,13
Africa,5,2020-03-14,2020,3,14
Africa,9,2020-03-15,2020,3,15
Africa,9,2020-03-16,2020,3,16
Africa,9,2020-03-17,2020,3,17
Africa,9,2020-03-18,2020,3,18
Africa,9,2020-03-19,2020,3,19
Africa,9,2020-03-20,2020,3,20
Africa,9,2020-03-21,2020,3,21
Africa,27,2020-03-22,2020,3,22
Africa,27,2020-03-23,2020,3,23
Africa,27,2020-03-24,2020,3,24
Africa,27,2020-03-25,2020,3,25
Africa,27,2020-03-26,2020,3,26
Africa,27,2020-03-27,2020,3,27
Africa,27,2020-03-28,2020,3,28
Africa,140,2020-03-29,2020,3,29
Africa,140,2020-03-30,2020,3,30
Africa,140,2020-03-31,2020,3,31
Africa,140,2020-04-01,2020,4,1
Africa,140,2020-04-02,2020,4,2
Africa,140,2020-04-03,2020,4,3
Africa,140,2020-04-04,2020,4,4
Africa,579,2020-04-05,2020,4,5
Africa,579,2020-04-06,2020,4,6
Africa,579,2020-04-07,2020,4,7
Africa,579,2020-04-08,2020,4,8
Africa,579,2020-04-09,2020,4,9
