,location,total_cases,date
19168,Asia,1.0,2020-01-05
19169,Asia,1.0,2020-01-06
19170,Asia,1.0,2020-01-07
19171,Asia,1.0,2020-01-08
19172,Asia,1.0,2020-01-09
19173,Asia,1.0,2020-01-10
19174,Asia,1.0,2020-01-11
19175,Asia,45.0,2020-01-12
19176,Asia,45.0,2020-01-13
19177,Asia,45.0,2020-01-14
19178,Asia,45.0,2020-01-15
19179,Asia,45.0,2020-01-16
19180,Asia,45.0,2020-01-17
19181,Asia,45.0,2020-01-18
19182,Asia,133.0,2020-01-19
19183,Asia,133.0,2020-01-20
19184,Asia,133.0,2020-01-21
19185,Asia,133.0,2020-01-22
19186,Asia,133.0,2020-01-23
19187,Asia,133.0,2020-01-24
19188,Asia,133.0,2020-01-25
19189,Asia,2011.0,2020-01-26
19190,Asia,2011.0,2020-01-27
19191,Asia,2011.0,2020-01-28
19192,Asia,2011.0,2020-01-29
19193,Asia,2011.0,2020-01-30
19194,Asia,2011.0,2020-01-31
19195,Asia,2011.0,2020-02-01
19196,Asia,14515.0,2020-02-02
19197,Asia,14515.0,2020-02-03
19198,Asia,14515.0,2020-02-04
19199,Asia,14515.0,2020-02-05
19200,Asia,14515.0,2020-02-06
19201,Asia,14515.0,2020-02-07
19202,Asia,14515.0,2020-02-08
19203,Asia,37429.0,2020-02-09
19204,Asia,37429.0,2020-02-10
19205,Asia,37429.0,2020-02-11
19206,Asia,37429.0,2020-02-12
19207,Asia,37429.0,2020-02-13
19208,Asia,37429.0,2020-02-14
19209,Asia,37429.0,2020-02-15
19210,Asia,68852.0,2020-02-16
19211,Asia,68852.0,2020-02-17
19212,Asia,68852.0,2020-02-18
19213,Asia,68852.0,2020-02-19
19214,Asia,68852.0,2020-02-20
19215,Asia,68852.0,2020-02-21
19216,Asia,68852.0,2020-02-22
19217,Asia,77969.0,2020-02-23
19218,Asia,77969.0,2020-02-24
19219,Asia,77969.0,2020-02-25
19220,Asia,77969.0,2020-02-26
19221,Asia,77969.0,2020-02-27
19222,Asia,77969.0,2020-02-28
19223,Asia,77969.0,2020-02-29
19224,Asia,84692.0,2020-03-01
19225,Asia,84692.0,2020-03-02
19226,Asia,84692.0,2020-03-03
19227,Asia,84692.0,2020-03-04
19228,Asia,84692.0,2020-03-05
19229,Asia,84692.0,2020-03-06
19230,Asia,84692.0,2020-03-07
19231,Asia,95025.0,2020-03-08
19232,Asia,95025.0,2020-03-09
19233,Asia,95025.0,2020-03-10
19234,Asia,95025.0,2020-03-11
19235,Asia,95025.0,2020-03-12
19236,Asia,95025.0,2020-03-13
19237,Asia,95025.0,2020-03-14
19238,Asia,105152.0,2020-03-15
19239,Asia,105152.0,2020-03-16
19240,Asia,105152.0,2020-03-17
19241,Asia,105152.0,2020-03-18
19242,Asia,105152.0,2020-03-19
19243,Asia,105152.0,2020-03-20
19244,Asia,105152.0,2020-03-21
19245,Asia,120800.0,2020-03-22
19246,Asia,120800.0,2020-03-23
19247,Asia,120800.0,2020-03-24
19248,Asia,120800.0,2020-03-25
19249,Asia,120800.0,2020-03-26
19250,Asia,120800.0,2020-03-27
19251,Asia,120800.0,2020-03-28
19252,Asia,155459.0,2020-03-29
19253,Asia,155459.0,2020-03-30
19254,Asia,155459.0,2020-03-31
19255,Asia,155459.0,2020-04-01
19256,Asia,155459.0,2020-04-02
19257,Asia,155459.0,2020-04-03
19258,Asia,155459.0,2020-04-04
19259,Asia,213779.0,2020-04-05
19260,Asia,213779.0,2020-04-06
19261,Asia,213779.0,2020-04-07
19262,Asia,213779.0,2020-04-08
19263,Asia,213779.0,2020-04-09
19264,Asia,213779.0,2020-04-10
19265,Asia,213779.0,2020-04-11
19266,Asia,285955.0,2020-04-12
19267,Asia,285955.0,2020-04-13
19268,Asia,285955.0,2020-04-14
19269,Asia,285955.0,2020-04-15
19270,Asia,285955.0,2020-04-16
19271,Asia,285955.0,2020-04-17
19272,Asia,285955.0,2020-04-18
19273,Asia,367696.0,2020-04-19
19274,Asia,367696.0,2020-04-20
19275,Asia,367696.0,2020-04-21
19276,Asia,367696.0,2020-04-22
19277,Asia,367696.0,2020-04-23
19278,Asia,367696.0,2020-04-24
19279,Asia,367696.0,2020-04-25
19280,Asia,457367.0,2020-04-26
19281,Asia,457367.0,2020-04-27
19282,Asia,457367.0,2020-04-28
