,location,total_cases,date
0,Europe,1.0,2020-01-05
1,Europe,1.0,2020-01-06
2,Europe,1.0,2020-01-07
3,Europe,1.0,2020-01-08
4,Europe,1.0,2020-01-09
5,Europe,1.0,2020-01-10
6,Europe,1.0,2020-01-11
7,Europe,2.0,2020-01-12
8,Europe,2.0,2020-01-13
9,Europe,2.0,2020-01-14
10,Europe,2.0,2020-01-15
11,Europe,2.0,2020-01-16
12,Europe,2.0,2020-01-17
13,Europe,2.0,2020-01-18
14,Europe,4.0,2020-01-19
15,Europe,4.0,2020-01-20
16,Europe,4.0,2020-01-21
17,Europe,4.0,2020-01-22
18,Europe,4.0,2020-01-23
19,Europe,4.0,2020-01-24
20,Europe,4.0,2020-01-25
21,Europe,9.0,2020-01-26
22,Europe,9.0,2020-01-27
23,Europe,9.0,2020-01-28
24,Europe,9.0,2020-01-29
25,Europe,9.0,2020-01-30
26,Europe,9.0,2020-01-31
27,Europe,9.0,2020-02-01
28,Europe,30.0,2020-02-02
29,Europe,30.0,2020-02-03
30,Europe,30.0,2020-02-04
31,Europe,30.0,2020-02-05
32,Europe,30.0,2020-02-06
33,Europe,30.0,2020-02-07
34,Europe,30.0,2020-02-08
35,Europe,84.0,2020-02-09
36,Europe,84.0,2020-02-10
37,Europe,84.0,2020-02-11
38,Europe,84.0,2020-02-12
39,Europe,84.0,2020-02-13
40,Europe,84.0,2020-02-14
41,Europe,84.0,2020-02-15
42,Europe,105.0,2020-02-16
43,Europe,105.0,2020-02-17
44,Europe,105.0,2020-02-18
45,Europe,105.0,2020-02-19
46,Europe,105.0,2020-02-20
47,Europe,105.0,2020-02-21
48,Europe,105.0,2020-02-22
49,Europe,204.0,2020-02-23
50,Europe,204.0,2020-02-24
51,Europe,204.0,2020-02-25
52,Europe,204.0,2020-02-26
53,Europe,204.0,2020-02-27
54,Europe,204.0,2020-02-28
55,Europe,204.0,2020-02-29
56,Europe,1697.0,2020-03-01
57,Europe,1697.0,2020-03-02
58,Europe,1697.0,2020-03-03
59,Europe,1697.0,2020-03-04
60,Europe,1697.0,2020-03-05
61,Europe,1697.0,2020-03-06
62,Europe,1697.0,2020-03-07
63,Europe,10895.0,2020-03-08
64,Europe,10895.0,2020-03-09
65,Europe,10895.0,2020-03-10
66,Europe,10895.0,2020-03-11
67,Europe,10895.0,2020-03-12
68,Europe,10895.0,2020-03-13
69,Europe,10895.0,2020-03-14
70,Europe,56584.0,2020-03-15
71,Europe,56584.0,2020-03-16
72,Europe,56584.0,2020-03-17
73,Europe,56584.0,2020-03-18
74,Europe,56584.0,2020-03-19
75,Europe,56584.0,2020-03-20
76,Europe,56584.0,2020-03-21
77,Europe,178100.0,2020-03-22
78,Europe,178100.0,2020-03-23
79,Europe,178100.0,2020-03-24
80,Europe,178100.0,2020-03-25
81,Europe,178100.0,2020-03-26
82,Europe,178100.0,2020-03-27
83,Europe,178100.0,2020-03-28
84,Europe,379351.0,2020-03-29
85,Europe,379351.0,2020-03-30
86,Europe,379351.0,2020-03-31
87,Europe,379351.0,2020-04-01
88,Europe,379351.0,2020-04-02
89,Europe,379351.0,2020-04-03
90,Europe,379351.0,2020-04-04
91,Europe,579088.0,2020-04-05
92,Europe,579088.0,2020-04-06
93,Europe,579088.0,2020-04-07
94,Europe,579088.0,2020-04-08
95,Europe,579088.0,2020-04-09
96,Europe,579088.0,2020-04-10
97,Europe,579088.0,2020-04-11
98,Europe,765456.0,2020-04-12
99,Europe,765456.0,2020-04-13
100,Europe,765456.0,2020-04-14
101,Europe,765456.0,2020-04-15
102,Europe,765456.0,2020-04-16
103,Europe,765456.0,2020-04-17
104,Europe,765456.0,2020-04-18
105,Europe,938638.0,2020-04-19
106,Europe,938638.0,2020-04-20
107,Europe,938638.0,2020-04-21
108,Europe,938638.0,2020-04-22
109,Europe,938638.0,2020-04-23
110,Europe,938638.0,2020-04-24
111,Europe,938638.0,2020-04-25
112,Europe,1101620.0,2020-04-26
113,Europe,1101620.0,2020-04-27
114,Europe,1101620.0,2020-04-28
115,Europe,1101620.0,2020-04-29
116,Europe,1101620.0,2020-04-30
117,Europe,1101620.0,2020-05-01
118,Europe,1101620.0,2020-05-02
119,Europe,1252499.0,2020-05-03
120,Europe,1252499.0,2020-05-04
121,Europe,1252499.0,2020-05-05
122,Europe,1252499.0,2020-05-06
123,Europe,1252499.0,2020-05-07
124,Europe,1252499.0,2020-05-08
125,Europe,1252499.0,2020-05-09
126,Europe,1405830.0,2020-05-10
127,Europe,1405830.0,2020-05-11
128,Europe,1405830.0,2020-05-12
129,Europe,1405830.0,2020-05-13
130,Europe,1405830.0,2020-05-14
131,Europe,1405830.0,2020-05-15
132,Europe,1405830.0,2020-05-16
133,Europe,1543255.0,2020-05-17
134,Europe,1543255.0,2020-05-18
135,Europe,1543255.0,2020-05-19
136,Europe,1543255.0,2020-05-20
137,Europe,1543255.0,2020-05-21
138,Europe,1543255.0,2020-05-22
139,Europe,1543255.0,2020-05-23
140,Europe,1666081.0,2020-05-24
141,Europe,1666081.0,2020-05-25
142,Europe,1666081.0,2020-05-26
143,Europe,1666081.0,2020-05-27
144,Europe,1666081.0,2020-05-28
145,Europe,1666081.0,2020-05-29
146,Europe,1666081.0,2020-05-30
147,Europe,1778234.0,2020-05-31
148,Europe,1778234.0,2020-06-01
149,Europe,1778234.0,2020-06-02
150,Europe,1778234.0,2020-06-03
151,Europe,1778234.0,2020-06-04
152,Europe,1778234.0,2020-06-05
153,Europe,1778234.0,2020-06-06
154,Europe,1886235.0,2020-06-07
155,Europe,1886235.0,2020-06-08
156,Europe,1886235.0,2020-06-09
157,Europe,1886235.0,2020-06-10
158,Europe,1886235.0,2020-06-11
159,Europe,1886235.0,2020-06-12
160,Europe,1886235.0,2020-06-13
161,Europe,1995822.0,2020-06-14
162,Europe,1995822.0,2020-06-15
163,Europe,1995822.0,2020-06-16
164,Europe,1995822.0,2020-06-17
165,Europe,1995822.0,2020-06-18
166,Europe,1995822.0,2020-06-19
167,Europe,1995822.0,2020-06-20
168,Europe,2102368.0,2020-06-21
169,Europe,2102368.0,2020-06-22
170,Europe,2102368.0,2020-06-23
171,Europe,2102368.0,2020-06-24
172,Europe,2102368.0,2020-06-25
173,Europe,2102368.0,2020-06-26
174,Europe,2102368.0,2020-06-27
175,Europe,2201033.0,2020-06-28
176,Europe,2201033.0,2020-06-29
177,Europe,2201033.0,2020-06-30
178,Europe,2201033.0,2020-07-01
179,Europe,2201033.0,2020-07-02
180,Europe,2201033.0,2020-07-03
181,Europe,2201033.0,2020-07-04
182,Europe,2292980.0,2020-07-05
183,Europe,2292980.0,2020-07-06
184,Europe,2292980.0,2020-07-07
185,Europe,2292980.0,2020-07-08
186,Europe,2292980.0,2020-07-09
187,Europe,2292980.0,2020-07-10
188,Europe,2292980.0,2020-07-11
189,Europe,2386128.0,2020-07-12
190,Europe,2386128.0,2020-07-13
191,Europe,2386128.0,2020-07-14
192,Europe,2386128.0,2020-07-15
193,Europe,2386128.0,2020-07-16
194,Europe,2386128.0,2020-07-17
195,Europe,2386128.0,2020-07-18
196,Europe,2485959.0,2020-07-19
197,Europe,2485959.0,2020-07-20
198,Europe,2485959.0,2020-07-21
199,Europe,2485959.0,2020-07-22
200,Europe,2485959.0,2020-07-23
201,Europe,2485959.0,2020-07-24
202,Europe,2485959.0,2020-07-25
203,Europe,2597915.0,2020-07-26
204,Europe,2597915.0,2020-07-27
205,Europe,2597915.0,2020-07-28
206,Europe,2597915.0,2020-07-29
207,Europe,2597915.0,2020-07-30
208,Europe,2597915.0,2020-07-31
209,Europe,2597915.0,2020-08-01
210,Europe,2724654.0,2020-08-02
211,Europe,2724654.0,2020-08-03
212,Europe,2724654.0,2020-08-04
213,Europe,2724654.0,2020-08-05
214,Europe,2724654.0,2020-08-06
215,Europe,2724654.0,2020-08-07
216,Europe,2724654.0,2020-08-08
217,Europe,2868717.0,2020-08-09
218,Europe,2868717.0,2020-08-10
219,Europe,2868717.0,2020-08-11
220,Europe,2868717.0,2020-08-12
221,Europe,2868717.0,2020-08-13
222,Europe,2868717.0,2020-08-14
223,Europe,2868717.0,2020-08-15
224,Europe,3036850.0,2020-08-16
225,Europe,3036850.0,2020-08-17
226,Europe,3036850.0,2020-08-18
227,Europe,3036850.0,2020-08-19
228,Europe,3036850.0,2020-08-20
229,Europe,3036850.0,2020-08-21
230,Europe,3036850.0,2020-08-22
231,Europe,3230824.0,2020-08-23
232,Europe,3230824.0,2020-08-24
233,Europe,3230824.0,2020-08-25
234,Europe,3230824.0,2020-08-26
235,Europe,3230824.0,2020-08-27
236,Europe,3230824.0,2020-08-28
237,Europe,3230824.0,2020-08-29
238,Europe,3452502.0,2020-08-30
239,Europe,3452502.0,2020-08-31
240,Europe,3452502.0,2020-09-01
241,Europe,3452502.0,2020-09-02
242,Europe,3452502.0,2020-09-03
243,Europe,3452502.0,2020-09-04
244,Europe,3452502.0,2020-09-05
245,Europe,3708637.0,2020-09-06
