,location,total_cases,date
0,North America,0.0,2020-01-05
1,North America,0.0,2020-01-06
2,North America,0.0,2020-01-07
3,North America,0.0,2020-01-08
4,North America,0.0,2020-01-09
5,North America,0.0,2020-01-10
6,North America,0.0,2020-01-11
7,North America,0.0,2020-01-12
8,North America,0.0,2020-01-13
9,North America,0.0,2020-01-14
10,North America,0.0,2020-01-15
11,North America,0.0,2020-01-16
12,North America,0.0,2020-01-17
13,North America,0.0,2020-01-18
14,North America,0.0,2020-01-19
15,North America,0.0,2020-01-20
16,North America,0.0,2020-01-21
17,North America,0.0,2020-01-22
18,North America,0.0,2020-01-23
19,North America,0.0,2020-01-24
20,North America,0.0,2020-01-25
21,North America,8.0,2020-01-26
22,North America,8.0,2020-01-27
23,North America,8.0,2020-01-28
24,North America,8.0,2020-01-29
25,North America,8.0,2020-01-30
26,North America,8.0,2020-01-31
27,North America,8.0,2020-02-01
28,North America,13.0,2020-02-02
29,North America,13.0,2020-02-03
30,North America,13.0,2020-02-04
31,North America,13.0,2020-02-05
32,North America,13.0,2020-02-06
33,North America,13.0,2020-02-07
34,North America,13.0,2020-02-08
35,North America,27.0,2020-02-09
36,North America,27.0,2020-02-10
37,North America,27.0,2020-02-11
38,North America,27.0,2020-02-12
39,North America,27.0,2020-02-13
40,North America,27.0,2020-02-14
41,North America,27.0,2020-02-15
42,North America,31.0,2020-02-16
43,North America,31.0,2020-02-17
44,North America,31.0,2020-02-18
45,North America,31.0,2020-02-19
46,North America,31.0,2020-02-20
47,North America,31.0,2020-02-21
48,North America,31.0,2020-02-22
49,North America,50.0,2020-02-23
50,North America,50.0,2020-02-24
51,North America,50.0,2020-02-25
52,North America,50.0,2020-02-26
53,North America,50.0,2020-02-27
54,North America,50.0,2020-02-28
55,North America,50.0,2020-02-29
56,North America,94.0,2020-03-01
57,North America,94.0,2020-03-02
58,North America,94.0,2020-03-03
59,North America,94.0,2020-03-04
60,North America,94.0,2020-03-05
61,North America,94.0,2020-03-06
62,North America,94.0,2020-03-07
63,North America,574.0,2020-03-08
64,North America,574.0,2020-03-09
65,North America,574.0,2020-03-10
66,North America,574.0,2020-03-11
67,North America,574.0,2020-03-12
68,North America,574.0,2020-03-13
69,North America,574.0,2020-03-14
70,North America,4431.0,2020-03-15
71,North America,4431.0,2020-03-16
72,North America,4431.0,2020-03-17
73,North America,4431.0,2020-03-18
74,North America,4431.0,2020-03-19
75,North America,4431.0,2020-03-20
76,North America,4431.0,2020-03-21
77,North America,33857.0,2020-03-22
78,North America,33857.0,2020-03-23
79,North America,33857.0,2020-03-24
80,North America,33857.0,2020-03-25
81,North America,33857.0,2020-03-26
82,North America,33857.0,2020-03-27
83,North America,33857.0,2020-03-28
84,North America,135809.0,2020-03-29
85,North America,135809.0,2020-03-30
86,North America,135809.0,2020-03-31
87,North America,135809.0,2020-04-01
88,North America,135809.0,2020-04-02
89,North America,135809.0,2020-04-03
90,North America,135809.0,2020-04-04
91,North America,324935.0,2020-04-05
92,North America,324935.0,2020-04-06
93,North America,324935.0,2020-04-07
94,North America,324935.0,2020-04-08
95,North America,324935.0,2020-04-09
96,North America,324935.0,2020-04-10
97,North America,324935.0,2020-04-11
98,North America,560604.0,2020-04-12
99,North America,560604.0,2020-04-13
100,North America,560604.0,2020-04-14
101,North America,560604.0,2020-04-15
102,North America,560604.0,2020-04-16
103,North America,560604.0,2020-04-17
104,North America,560604.0,2020-04-18
105,North America,776467.0,2020-04-19
106,North America,776467.0,2020-04-20
107,North America,776467.0,2020-04-21
108,North America,776467.0,2020-04-22
109,North America,776467.0,2020-04-23
110,North America,776467.0,2020-04-24
111,North America,776467.0,2020-04-25
