,location,total_cases,date
0,Oceania,0.0,2020-01-05
1,Oceania,0.0,2020-01-06
2,Oceania,0.0,2020-01-07
3,Oceania,0.0,2020-01-08
4,Oceania,0.0,2020-01-09
5,Oceania,0.0,2020-01-10
6,Oceania,0.0,2020-01-11
7,Oceania,0.0,2020-01-12
8,Oceania,0.0,2020-01-13
9,Oceania,0.0,2020-01-14
10,Oceania,0.0,2020-01-15
11,Oceania,0.0,2020-01-16
12,Oceania,0.0,2020-01-17
13,Oceania,0.0,2020-01-18
14,Oceania,0.0,2020-01-19
15,Oceania,0.0,2020-01-20
16,Oceania,0.0,2020-01-21
17,Oceania,0.0,2020-01-22
18,Oceania,0.0,2020-01-23
19,Oceania,0.0,2020-01-24
20,Oceania,0.0,2020-01-25
21,Oceania,4.0,2020-01-26
22,Oceania,4.0,2020-01-27
23,Oceania,4.0,2020-01-28
24,Oceania,4.0,2020-01-29
25,Oceania,4.0,2020-01-30
26,Oceania,4.0,2020-01-31
27,Oceania,4.0,2020-02-01
28,Oceania,12.0,2020-02-02
29,Oceania,12.0,2020-02-03
30,Oceania,12.0,2020-02-04
31,Oceania,12.0,2020-02-05
32,Oceania,12.0,2020-02-06
33,Oceania,12.0,2020-02-07
34,Oceania,12.0,2020-02-08
35,Oceania,15.0,2020-02-09
36,Oceania,15.0,2020-02-10
37,Oceania,15.0,2020-02-11
38,Oceania,15.0,2020-02-12
39,Oceania,15.0,2020-02-13
40,Oceania,15.0,2020-02-14
41,Oceania,15.0,2020-02-15
42,Oceania,15.0,2020-02-16
43,Oceania,15.0,2020-02-17
44,Oceania,15.0,2020-02-18
45,Oceania,15.0,2020-02-19
46,Oceania,15.0,2020-02-20
47,Oceania,15.0,2020-02-21
48,Oceania,15.0,2020-02-22
49,Oceania,22.0,2020-02-23
50,Oceania,22.0,2020-02-24
51,Oceania,22.0,2020-02-25
52,Oceania,22.0,2020-02-26
53,Oceania,22.0,2020-02-27
54,Oceania,22.0,2020-02-28
55,Oceania,22.0,2020-02-29
56,Oceania,26.0,2020-03-01
57,Oceania,26.0,2020-03-02
58,Oceania,26.0,2020-03-03
59,Oceania,26.0,2020-03-04
60,Oceania,26.0,2020-03-05
61,Oceania,26.0,2020-03-06
62,Oceania,26.0,2020-03-07
63,Oceania,75.0,2020-03-08
64,Oceania,75.0,2020-03-09
65,Oceania,75.0,2020-03-10
66,Oceania,75.0,2020-03-11
67,Oceania,75.0,2020-03-12
68,Oceania,75.0,2020-03-13
69,Oceania,75.0,2020-03-14
70,Oceania,260.0,2020-03-15
71,Oceania,260.0,2020-03-16
72,Oceania,260.0,2020-03-17
73,Oceania,260.0,2020-03-18
74,Oceania,260.0,2020-03-19
75,Oceania,260.0,2020-03-20
76,Oceania,260.0,2020-03-21
77,Oceania,1187.0,2020-03-22
78,Oceania,1187.0,2020-03-23
79,Oceania,1187.0,2020-03-24
80,Oceania,1187.0,2020-03-25
81,Oceania,1187.0,2020-03-26
82,Oceania,1187.0,2020-03-27
83,Oceania,1187.0,2020-03-28
84,Oceania,4396.0,2020-03-29
85,Oceania,4396.0,2020-03-30
86,Oceania,4396.0,2020-03-31
87,Oceania,4396.0,2020-04-01
88,Oceania,4396.0,2020-04-02
89,Oceania,4396.0,2020-04-03
90,Oceania,4396.0,2020-04-04
91,Oceania,6679.0,2020-04-05
92,Oceania,6679.0,2020-04-06
93,Oceania,6679.0,2020-04-07
94,Oceania,6679.0,2020-04-08
95,Oceania,6679.0,2020-04-09
96,Oceania,6679.0,2020-04-10
97,Oceania,6679.0,2020-04-11
98,Oceania,7569.0,2020-04-12
99,Oceania,7569.0,2020-04-13
100,Oceania,7569.0,2020-04-14
101,Oceania,7569.0,2020-04-15
102,Oceania,7569.0,2020-04-16
103,Oceania,7569.0,2020-04-17
104,Oceania,7569.0,2020-04-18
105,Oceania,7928.0,2020-04-19
106,Oceania,7928.0,2020-04-20
107,Oceania,7928.0,2020-04-21
108,Oceania,7928.0,2020-04-22
109,Oceania,7928.0,2020-04-23
110,Oceania,7928.0,2020-04-24
111,Oceania,7928.0,2020-04-25
112,Oceania,8076.0,2020-04-26
113,Oceania,8076.0,2020-04-27
114,Oceania,8076.0,2020-04-28
115,Oceania,8076.0,2020-04-29
116,Oceania,8076.0,2020-04-30
117,Oceania,8076.0,2020-05-01
118,Oceania,8076.0,2020-05-02
119,Oceania,8179.0,2020-05-03
120,Oceania,8179.0,2020-05-04
121,Oceania,8179.0,2020-05-05
122,Oceania,8179.0,2020-05-06
123,Oceania,8179.0,2020-05-07
124,Oceania,8179.0,2020-05-08
125,Oceania,8179.0,2020-05-09
126,Oceania,8340.0,2020-05-10
127,Oceania,8340.0,2020-05-11
128,Oceania,8340.0,2020-05-12
129,Oceania,8340.0,2020-05-13
130,Oceania,8340.0,2020-05-14
131,Oceania,8340.0,2020-05-15
132,Oceania,8340.0,2020-05-16
133,Oceania,8459.0,2020-05-17
134,Oceania,8459.0,2020-05-18
135,Oceania,8459.0,2020-05-19
136,Oceania,8459.0,2020-05-20
137,Oceania,8459.0,2020-05-21
138,Oceania,8459.0,2020-05-22
139,Oceania,8459.0,2020-05-23
140,Oceania,8547.0,2020-05-24
141,Oceania,8547.0,2020-05-25
142,Oceania,8547.0,2020-05-26
143,Oceania,8547.0,2020-05-27
144,Oceania,8547.0,2020-05-28
145,Oceania,8547.0,2020-05-29
146,Oceania,8547.0,2020-05-30
147,Oceania,8632.0,2020-05-31
148,Oceania,8632.0,2020-06-01
149,Oceania,8632.0,2020-06-02
150,Oceania,8632.0,2020-06-03
151,Oceania,8632.0,2020-06-04
152,Oceania,8632.0,2020-06-05
153,Oceania,8632.0,2020-06-06
154,Oceania,8712.0,2020-06-07
155,Oceania,8712.0,2020-06-08
156,Oceania,8712.0,2020-06-09
157,Oceania,8712.0,2020-06-10
158,Oceania,8712.0,2020-06-11
159,Oceania,8712.0,2020-06-12
160,Oceania,8712.0,2020-06-13
161,Oceania,8770.0,2020-06-14
162,Oceania,8770.0,2020-06-15
163,Oceania,8770.0,2020-06-16
164,Oceania,8770.0,2020-06-17
165,Oceania,8770.0,2020-06-18
166,Oceania,8770.0,2020-06-19
167,Oceania,8770.0,2020-06-20
168,Oceania,8947.0,2020-06-21
169,Oceania,8947.0,2020-06-22
170,Oceania,8947.0,2020-06-23
171,Oceania,8947.0,2020-06-24
172,Oceania,8947.0,2020-06-25
173,Oceania,8947.0,2020-06-26
174,Oceania,8947.0,2020-06-27
175,Oceania,9199.0,2020-06-28
176,Oceania,9199.0,2020-06-29
177,Oceania,9199.0,2020-06-30
178,Oceania,9199.0,2020-07-01
179,Oceania,9199.0,2020-07-02
180,Oceania,9199.0,2020-07-03
181,Oceania,9199.0,2020-07-04
182,Oceania,9968.0,2020-07-05
183,Oceania,9968.0,2020-07-06
184,Oceania,9968.0,2020-07-07
185,Oceania,9968.0,2020-07-08
186,Oceania,9968.0,2020-07-09
187,Oceania,9968.0,2020-07-10
188,Oceania,9968.0,2020-07-11
189,Oceania,11204.0,2020-07-12
190,Oceania,11204.0,2020-07-13
191,Oceania,11204.0,2020-07-14
192,Oceania,11204.0,2020-07-15
193,Oceania,11204.0,2020-07-16
194,Oceania,11204.0,2020-07-17
195,Oceania,11204.0,2020-07-18
196,Oceania,13113.0,2020-07-19
197,Oceania,13113.0,2020-07-20
198,Oceania,13113.0,2020-07-21
199,Oceania,13113.0,2020-07-22
200,Oceania,13113.0,2020-07-23
201,Oceania,13113.0,2020-07-24
202,Oceania,13113.0,2020-07-25
203,Oceania,15674.0,2020-07-26
204,Oceania,15674.0,2020-07-27
205,Oceania,15674.0,2020-07-28
